id,t,layer,concept_separated,accuracy
400,920,6,"(True, False, True)",0.48214285714285715
401,920,6,"(False, True, True)",0.5388888888888889
402,920,9,"(True, False, False)",0.5384615384615384
403,920,9,"(False, True, False)",0.49063670411985016
404,920,9,"(False, False, True)",0.5882352941176471
405,920,9,"(True, True, False)",0.5138888888888888
406,920,9,"(True, False, True)",0.5178571428571429
407,920,9,"(False, True, True)",0.5222222222222223
408,920,12,"(True, False, False)",0.5454545454545454
409,920,12,"(False, True, False)",0.49812734082397003
410,920,12,"(False, False, True)",0.5441176470588235
411,920,12,"(True, True, False)",0.53125
412,920,12,"(True, False, True)",0.4107142857142857
413,920,12,"(False, True, True)",0.5222222222222223
414,920,15,"(True, False, False)",0.5804195804195804
415,920,15,"(False, True, False)",0.49812734082397003
416,920,15,"(False, False, True)",0.5735294117647058
417,920,15,"(True, True, False)",0.5138888888888888
418,920,15,"(True, False, True)",0.44642857142857145
419,920,15,"(False, True, True)",0.5
420,920,18,"(True, False, False)",0.5314685314685315
421,920,18,"(False, True, False)",0.47191011235955055
422,920,18,"(False, False, True)",0.5882352941176471
423,920,18,"(True, True, False)",0.4930555555555556
424,920,18,"(True, False, True)",0.4642857142857143
425,920,18,"(False, True, True)",0.48333333333333334
426,920,21,"(True, False, False)",0.5174825174825175
427,920,21,"(False, True, False)",0.5056179775280899
428,920,21,"(False, False, True)",0.5294117647058824
429,920,21,"(True, True, False)",0.5243055555555556
430,920,21,"(True, False, True)",0.48214285714285715
431,920,21,"(False, True, True)",0.5111111111111111
432,910,0,"(True, False, False)",0.5874125874125874
433,910,0,"(False, True, False)",0.48314606741573035
434,910,0,"(False, False, True)",0.5
435,910,0,"(True, True, False)",0.5625
436,910,0,"(True, False, True)",0.4642857142857143
437,910,0,"(False, True, True)",0.5222222222222223
438,910,3,"(True, False, False)",0.5664335664335665
439,910,3,"(False, True, False)",0.4943820224719101
440,910,3,"(False, False, True)",0.47058823529411764
441,910,3,"(True, True, False)",0.5625
442,910,3,"(True, False, True)",0.44642857142857145
443,910,3,"(False, True, True)",0.5055555555555555
444,910,6,"(True, False, False)",0.6013986013986014
445,910,6,"(False, True, False)",0.49063670411985016
446,910,6,"(False, False, True)",0.4852941176470588
447,910,6,"(True, True, False)",0.5659722222222222
448,910,6,"(True, False, True)",0.48214285714285715
449,910,6,"(False, True, True)",0.49444444444444446
450,910,9,"(True, False, False)",0.5944055944055944
451,910,9,"(False, True, False)",0.4943820224719101
452,910,9,"(False, False, True)",0.5147058823529411
453,910,9,"(True, True, False)",0.5625
454,910,9,"(True, False, True)",0.48214285714285715
455,910,9,"(False, True, True)",0.5166666666666667
456,910,12,"(True, False, False)",0.5734265734265734
457,910,12,"(False, True, False)",0.5056179775280899
458,910,12,"(False, False, True)",0.5
459,910,12,"(True, True, False)",0.5486111111111112
460,910,12,"(True, False, True)",0.48214285714285715
461,910,12,"(False, True, True)",0.5277777777777778
462,910,15,"(True, False, False)",0.5804195804195804
463,910,15,"(False, True, False)",0.5131086142322098
464,910,15,"(False, False, True)",0.4852941176470588
465,910,15,"(True, True, False)",0.5625
466,910,15,"(True, False, True)",0.42857142857142855
467,910,15,"(False, True, True)",0.5111111111111111
468,910,18,"(True, False, False)",0.5524475524475524
469,910,18,"(False, True, False)",0.48314606741573035
470,910,18,"(False, False, True)",0.5
471,910,18,"(True, True, False)",0.5520833333333334
472,910,18,"(True, False, True)",0.4642857142857143
473,910,18,"(False, True, True)",0.5111111111111111
474,910,21,"(True, False, False)",0.5524475524475524
475,910,21,"(False, True, False)",0.5168539325842697
476,910,21,"(False, False, True)",0.4852941176470588
477,910,21,"(True, True, False)",0.5347222222222222
478,910,21,"(True, False, True)",0.4642857142857143
479,910,21,"(False, True, True)",0.5055555555555555
480,900,0,"(True, False, False)",0.5524475524475524
481,900,0,"(False, True, False)",0.49812734082397003
482,900,0,"(False, False, True)",0.5294117647058824
483,900,0,"(True, True, False)",0.5451388888888888
484,900,0,"(True, False, True)",0.5178571428571429
485,900,0,"(False, True, True)",0.5
486,900,3,"(True, False, False)",0.5454545454545454
487,900,3,"(False, True, False)",0.49063670411985016
488,900,3,"(False, False, True)",0.5
489,900,3,"(True, True, False)",0.5451388888888888
490,900,3,"(True, False, True)",0.44642857142857145
491,900,3,"(False, True, True)",0.5111111111111111
492,900,6,"(True, False, False)",0.5734265734265734
493,900,6,"(False, True, False)",0.50187265917603
494,900,6,"(False, False, True)",0.5294117647058824
495,900,6,"(True, True, False)",0.5555555555555556
496,900,6,"(True, False, True)",0.5178571428571429
497,900,6,"(False, True, True)",0.48333333333333334
498,900,9,"(True, False, False)",0.6013986013986014
499,900,9,"(False, True, False)",0.4943820224719101
500,900,9,"(False, False, True)",0.5
501,900,9,"(True, True, False)",0.5347222222222222
502,900,9,"(True, False, True)",0.5714285714285714
503,900,9,"(False, True, True)",0.5
504,900,12,"(True, False, False)",0.5734265734265734
505,900,12,"(False, True, False)",0.5131086142322098
506,900,12,"(False, False, True)",0.45588235294117646
507,900,12,"(True, True, False)",0.5416666666666666
508,900,12,"(True, False, True)",0.5178571428571429
509,900,12,"(False, True, True)",0.5
510,900,15,"(True, False, False)",0.5664335664335665
511,900,15,"(False, True, False)",0.50187265917603
512,900,15,"(False, False, True)",0.5
